timestamp,source,temp_c,humidity,pressure_hpa,gas_ohm,iaq_score,accel_x,accel_y,accel_z,accel_magnitude,quake_triggered,quake_ratio,sound_rms,sound_db
1789402522.948655,local,21.356,43.684,1012.946,48076.338,95.000,0.011,0.010,0.984,-0.015,0,1.360,2249.056,67.040
1789402522.9487252,local,21.510,45.206,1011.806,46554.370,92.100,0.010,0.011,0.984,-0.016,0,1.380,2526.547,68.051
1789402522.948791,local,21.319,45.636,1014.292,46787.273,92.300,-0.004,-0.015,1.009,0.009,0,0.910,164.088,44.302
1789402522.9488478,local,21.620,45.699,1011.851,46633.897,92.100,0.011,-0.008,1.012,0.012,0,1.050,179.930,45.102
1789402522.948903,local,21.305,49.295,1011.611,46214.632,89.900,-0.014,-0.014,1.002,0.003,0,0.350,183.908,45.292
1789402522.9489577,local,21.699,48.231,1012.701,45048.363,88.600,0.017,0.008,1.015,0.016,0,1.260,175.835,44.902
1789402522.9490116,local,21.408,49.767,1014.228,44966.456,87.900,0.000,-0.015,1.013,0.013,0,1.180,172.382,44.730
1789402522.9490693,local,21.497,46.699,1012.365,44241.353,88.100,0.016,-0.016,1.007,0.007,0,0.710,167.410,44.476
1789402522.949127,local,21.638,43.305,1013.813,44214.174,89.500,-0.011,0.002,1.012,0.012,0,1.000,160.548,44.112
1789402522.9491837,local,21.589,40.034,1013.936,44136.669,90.700,1.361,-0.002,0.987,0.681,1,17.860,167.063,44.458
1789402522.9492462,local,21.311,44.872,1011.100,44515.762,89.200,1.452,-0.017,0.998,0.762,1,12.970,181.901,45.197
1789402522.949304,local,21.617,40.162,1013.169,44238.595,90.800,0.759,-0.005,0.999,0.255,1,5.050,157.738,43.959
1789402522.949364,local,21.312,42.786,1012.968,43465.173,88.600,1.147,-0.007,1.008,0.527,1,6.350,181.972,45.200
1789402522.9494247,local,21.393,40.128,1011.151,44075.030,90.600,0.875,0.001,1.014,0.339,1,4.140,157.846,43.965
1789402522.9494824,local,21.636,46.501,1012.056,43631.738,87.300,0.014,0.013,1.006,0.006,1,0.640,172.520,44.737
1789402522.9495378,local,21.685,49.517,1014.569,42336.734,84.100,-0.010,0.009,1.001,0.001,1,0.100,186.449,45.411
1789402522.9495924,local,21.528,49.966,1012.085,42287.911,83.800,-0.012,0.001,1.009,0.009,1,0.110,150.363,43.543
1789402522.9496522,local,21.610,44.614,1014.402,42348.124,86.100,0.013,-0.000,0.991,-0.009,1,0.120,189.825,45.567
1789402522.9497142,local,21.538,46.427,1013.291,42024.446,84.900,-0.008,0.014,0.982,-0.018,0,0.220,183.256,45.261
1789402522.9497752,local,21.385,43.451,1011.237,42046.919,86.200,0.011,-0.009,1.013,0.013,0,0.180,179.630,45.088
1789402522.9498396,local,21.462,49.326,1013.942,40679.386,81.700,-0.009,0.011,1.002,0.002,0,0.050,179.234,45.068
1789402522.9499002,local,21.615,43.109,1011.992,41696.548,85.800,-0.006,-0.009,1.011,0.011,0,0.140,178.414,45.029
